MUN;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
Itaparica;20725;78,95;0,67;0,657;0,826;0,553;104;6,73;182;1904
Itapé;10995;68,54;0,599;0,574;0,761;0,491;108;9,13;113;1079
Itapebi;10495;73,72;0,572;0,568;0,718;0,458;82;7,38;85;1004
Itapetinga;68273;95,63;0,667;0,667;0,79;0,562;510;7,45;652;4733
Itapicuru;32261;55,44;0,486;0,505;0,711;0,319;247;7,56;267;3374
Itapitanga;10207;85,61;0,571;0,536;0,764;0,454;97;8,44;82;1328
Itaquara;7678;68,58;0,553;0,539;0,763;0,411;83;9,31;99;774
Itarantim;18539;81,16;0,61;0,608;0,766;0,487;186;8,98;170;1750
Itatim;14522;74,19;0,582;0,55;0,782;0,459;138;7,19;146;1239
Itiruçu;12693;67,87;0,6;0,588;0,762;0,482;121;10,22;194;1126
Itiúba;36113;38,96;0,544;0,521;0,775;0,398;373;8,8;458;3621
Itororó;19914;86,28;0,594;0,598;0,739;0,474;235;10,1;206;1941
Ituaçu;18127;70,06;0,57;0,565;0,77;0,425;152;9,04;245;1587
Ituberá;26591;72,66;0,606;0,601;0,769;0,482;129;6,21;197;1454
Iuiú;10900;68,87;0,591;0,553;0,74;0,504;53;6,18;62;815
Jaborandi;8973;65,38;0,613;0,572;0,791;0,508;86;8,75;76;692
Jacaraci;13651;89,12;0,593;0,573;0,741;0,49;178;11,82;221;1464
Jacobina;79247;76,13;0,649;0,636;0,772;0,558;620;8,02;885;4925
Jaguaquara;51011;69,9;0,58;0,586;0,747;0,446;446;8,12;580;5343
Jaguarari;30343;74,2;0,659;0,644;0,806;0,551;292;8,87;389;2666
Jaguaripe;16467;56,21;0,556;0,552;0,763;0,407;98;6,43;132;1348
Jandaíra;10331;59,33;0,55;0,511;0,749;0,435;85;6,8;77;711
Jequié;151895;85,05;0,665;0,656;0,79;0,568;1324;8,31;2006;12491
Jeremoabo;37680;59,81;0,547;0,561;0,689;0,424;371;8,59;412;2450
Jiquiriçá;14118;85,4;0,553;0,558;0,763;0,397;146;7,83;142;1245
Jitaúna;14115;67,87;0,575;0,563;0,704;0,479;166;10,19;200;1932
João Dourado;22549;75,13;0,593;0,573;0,709;0,513;170;6,56;152;1572
Juazeiro;197965;86,67;0,677;0,657;0,796;0,594;853;5,42;1410;9887
Jucuruçu;10290;60,7;0,541;0,508;0,751;0,415;82;7,99;82;1150
Jussara;15052;68,55;0,571;0,544;0,72;0,476;135;8,15;134;1014
Jussari;6474;79,29;0,567;0,577;0,699;0,451;56;9,08;65;735
Jussiape;8031;89,39;0,602;0,6;0,736;0,493;138;14,02;201;614
Lafaiete Coutinho;3901;64,09;0,599;0,576;0,771;0,483;48;11,61;83;602
Lagoa Real;13934;66,35;0,545;0,535;0,764;0,395;129;8,38;188;1686
Laje;22201;68,12;0,586;0,548;0,764;0,48;171;7,07;223;1511
Lajedão;3733;80,07;0,632;0,652;0,778;0,497;38;10,29;44;318
Lajedinho;3936;45,82;0,546;0,522;0,753;0,413;42;8,21;38;434
Lajedo do Tabocal;8305;67,72;0,584;0,545;0,764;0,479;66;9,05;99;737
Lamarão;9560;29,6;0,518;0,501;0,747;0,372;114;9,36;161;1566
Lapão;25646;80,29;0,596;0,55;0,755;0,51;178;6,74;212;1257
Lauro de Freitas;163449;94,17;0,754;0,781;0,827;0,663;459;4,41;901;3175
Lençóis;10368;74,19;0,623;0,613;0,775;0,51;70;5,7;91;733
Licínio de Almeida;12311;86,23;0,621;0,582;0,775;0,531;144;10,43;169;1035
Livramento de Nossa Senhora;42693;77,36;0,611;0,587;0,793;0,491;349;8,79;524;3216
Luís Eduardo Magalhães;60105;93,99;0,716;0,754;0,826;0,59;53;1,5;76;927
Macajuba;11229;49,88;0,524;0,515;0,78;0,358;125;9,49;180;1646
Macarani;17093;86,52;0,605;0,607;0,782;0,466;144;8,54;166;1374
Macaúbas;47051;73,51;0,609;0,557;0,791;0,513;462;8,96;584;4547
Macururé;8073;40,59;0,604;0,547;0,748;0,539;81;9,61;126;959
Madre de Deus;17376;97,37;0,708;0,67;0,794;0,667;47;4,87;106;782
Maetinga;7038;55,12;0,538;0,565;0,751;0,368;90;12,02;114;835
Maiquinique;8782;89,72;0,576;0,586;0,69;0,472;89;8,3;85;492
Mairi;19326;61,46;0,572;0,575;0,744;0,438;247;10,34;312;1828
Malhada;16014;63,63;0,562;0,532;0,734;0,454;97;6,03;96;1464
Malhada de Pedras;8468;51,61;0,578;0,549;0,747;0,471;86;9,75;100;616
Manoel Vitorino;14387;35;0,566;0,538;0,741;0,456;163;9,58;182;1707
Mansidão;12592;35,78;0,599;0,503;0,752;0,568;100;6,93;109;1761
Maracás;24613;65,49;0,607;0,577;0,747;0,519;251;9,34;373;1977
Maragogipe;42815;71,8;0,621;0,582;0,793;0,518;295;7,66;504;3643
Maraú;19101;51,46;0,593;0,643;0,801;0,404;90;5,75;92;1824
Marcionílio Souza;10500;57,82;0,561;0,518;0,737;0,463;104;8,5;141;1241
Mascote;14640;76,75;0,581;0,567;0,744;0,464;168;8,56;119;1798
Mata de São João;40183;78,95;0,668;0,648;0,818;0,562;172;5,43;311;2419
Matina;11145;45,54;0,572;0,538;0,74;0,469;91;7,49;106;885
Medeiros Neto;21560;83,02;0,625;0,626;0,777;0,501;225;10,21;268;2045
Miguel Calmon;26475;70,47;0,586;0,571;0,745;0,472;258;9,22;365;1781
Milagres;10306;68,42;0,622;0,59;0,789;0,518;101;9,16;156;715
Mirangaba;16279;58,42;0,542;0,512;0,685;0,454;126;7,62;151;1309
Mirante;10507;37,72;0,527;0,524;0,722;0,386;101;9,84;131;1373
Monte Santo;52338;22,1;0,506;0,515;0,699;0,359;590;9,76;708;5656
Morpará;8280;81,9;0,558;0,536;0,732;0,444;75;10,34;121;989
Morro do Chapéu;35164;52,78;0,588;0,554;0,766;0,478;267;7,63;370;3152
Mortugaba;12477;84,1;0,618;0,598;0,771;0,513;169;11,91;193;742
Mucugê;10545;81,45;0,606;0,589;0,787;0,48;86;7,94;131;789
Mucuri;36026;70,17;0,665;0,679;0,801;0,541;162;5;186;1403
Mulungu do Morro;12249;15,36;0,566;0,517;0,753;0,466;81;6,51;98;847
Mundo Novo;24395;61,92;0,59;0,606;0,791;0,429;224;8,45;295;2126
Muniz Ferreira;7317;77,07;0,617;0,581;0,761;0,531;61;8,57;94;591
Muquém de São Francisco;10272;64,74;0,549;0,488;0,761;0,445;56;5,48;42;936
Muritiba;28899;74,75;0,66;0,629;0,796;0,573;201;8,04;394;2230
Mutuípe;21449;80,32;0,601;0,618;0,751;0,467;209;8,31;259;2261
Nazaré;27274;77,15;0,641;0,637;0,777;0,532;199;7,98;326;2223
Nilo Peçanha;12530;63,15;0,547;0,531;0,762;0,404;76;6,23;80;1203
Nordestina;12371;37,28;0,56;0,507;0,743;0,467;142;9,11;157;1453
Nova Canaã;16713;78,61;0,545;0,554;0,789;0,37;211;10,61;246;1603
Nova Fátima;7602;77,59;0,597;0,575;0,738;0,501;85;9,94;92;521
Nova Ibiá;6648;64,14;0,57;0,62;0,714;0,419;59;7,15;45;411
Nova Itarana;7435;57,82;0,524;0,508;0,729;0,389;77;8,19;102;754
Nova Redenção;8034;60,47;0,567;0,534;0,723;0,471;85;8,78;96;949
